Brawler,Map,Adjusted Win Rate
BUZZ,Slalom Slam,0.587011137
ASH,Controller Chaos,0.586979391
ROSA,Gem Source,0.58697185
CARL,TIGER TRAP,0.586954419
PENNY,Deep Diner,0.586929547
GRIFF,Power Shot,0.586904696
AMBER,DANGER CHAMBER,0.58689762
PIPER,Hideout,0.586863268
GROM,Nuts & Bolts,0.586844919
POCO,Deep End,0.586844834
SQUEAK,Flaring Phoenix,0.586816707
ASH,Dark Passage,0.586786538
ASH,Cotton Candy Dreams,0.586708773
BULL,Center Field,0.586682954
BULL,SUPER CITY,0.586666667
FRANK,MONKEY MAZE,0.586639208
LOLA,Acid Lakes,0.586637795
JESSIE,Slalom Slam,0.586631154
CARL,Safe Zone,0.586605852
ROSA,DANGER CHAMBER,0.586589202
BARLEY,DUELIST'S DESTINY,0.58653896
EMZ,Controller Chaos,0.586441644
FANG,DUELIST'S DESTINY,0.586383656
SPIKE,Slalom Slam,0.586332023
ASH,Hideout,0.586317308
CROW,Minecart Madness,0.586308238
BULL,Center Stage,0.586286442
SQUEAK,DUELIST'S DESTINY,0.586271243
JESSIE,Crystal Arcade,0.586253149
BUZZ,Binary Coding,0.58617825
SQUEAK,Excel,0.586151529
LOLA,Double Trouble,0.586149267
COLT,Lit Match,0.586116863
ASH,Dry Season,0.586110072
TARA,Hard Rock Mine,0.586079446
POCO,Binary Coding,0.585965991
TICK,Shooting Star,0.58589974
LOLA,Dark Passage,0.585863435
JESSIE,Undermine,0.585860186
FRANK,Center Field,0.585755697
GALE,Center Stage,0.585720772
FRANK,Some Assembly Required,0.585719339
LOLA,Dried Up River,0.585711397
CARL,Luis' Revenge,0.585709407
SPIKE,Controller Chaos,0.585691799
PAM,DUELIST'S DESTINY,0.585685164
POCO,Center Field,0.585684549
BELLE,Pinball Dreams,0.585684487
BUZZ,Power Shot,0.58563641
NITA,SHROUDING SERPENT,0.585605727
LOU,TIGER TRAP,0.585574239
JACKY,Deep End,0.585504454
POCO,Field Goal,0.585504339
RICO,Pinhole Punt,0.585446565
DARRYL,Mystic Touch,0.585435308
SPIKE,Binary Coding,0.585416733
ASH,Acid Lakes,0.585370555
SQUEAK,Center Field,0.585358384
POCO,Power Shot,0.585274827
BUZZ,TIGER TRAP,0.585272364
LOU,Hot Potato,0.585234056
SPROUT,Excel,0.585196139
JESSIE,Danger Zone,0.585165881
SPROUT,MONKEY MAZE,0.585149863
PENNY,NO SURRENDER,0.585138979
RICO,Excel,0.585120607
BULL,SHROUDING SERPENT,0.58509902
RICO,Triple Dribble,0.585098421
CROW,Undermine,0.585068399
JESSIE,Controller Chaos,0.585055536
TARA,MONKEY MAZE,0.584961382
GRIFF,Super Stadium,0.584942684
GROM,SHROUDING SERPENT,0.584919261
GROM,Double Swoosh,0.584917033
RICO,Ring of Fire,0.584908646
LOLA,Goldarm Gulch,0.584907042
GROM,Split,0.584900566
TICK,Belle's Rock,0.584900555
JESSIE,Cotton Candy Dreams,0.584879214
GALE,Danger Zone,0.584842995
AMBER,SHROUDING SERPENT,0.584840852
FANG,Crystal Arcade,0.584836037
BUZZ,Nuts & Bolts,0.58482732
LOLA,Mystic Touch,0.584818054
ROSA,Belle's Rock,0.584738806
JESSIE,Four Squared,0.584725163
JACKY,Factory Rush,0.584709394
BARLEY,Cotton Candy Dreams,0.584659701
EL PRIMO,Center Stage,0.584624484
MEG,Bot Drop,0.584609495
ASH,Safe Zone,0.584595694
LOLA,Middle Ground,0.584568678
PENNY,Pierced,0.584550912
SANDY,NO SURRENDER,0.584530189
SPIKE,Firm Grip,0.584530124
POCO,Slalom Slam,0.584519923
JESSIE,Center Field,0.584516858
STU,Center Field,0.584451893
NANI,Some Assembly Required,0.584449653
BUZZ,Field Goal,0.584443754
EL PRIMO,SUPER CITY,0.584319922
POCO,NO SURRENDER,0.584304386
BARLEY,DANGER CHAMBER,0.584226847
TICK,TIGER TRAP,0.584191639
SQUEAK,Deep End,0.58418179
EL PRIMO,Field Goal,0.584163463
SPROUT,Middle Ground,0.584112857
JESSIE,Triple Dribble,0.584093036
8-BIT,Dry Season,0.584031052
FRANK,WARRIOR'S WAY,0.584015549
ASH,Hot Potato,0.583910676
JESSIE,Field Goal,0.583886609
GROM,Dried Up River,0.583866371
RICO,NO SURRENDER,0.583838024
GENE,Dry Season,0.583805398
JESSIE,Center Stage,0.583778219
ASH,Backyard Bowl,0.583753673
PENNY,Luis' Revenge,0.583748503
JESSIE,SUPER CITY,0.58374256
ROSA,NO SURRENDER,0.583730612
8-BIT,Split,0.583676566
LOLA,Cavern Churn,0.583666555
GALE,Pinball Dreams,0.583556491
STU,Lit Match,0.583478499
STU,Robo Ring,0.583454915
LOU,MONKEY MAZE,0.583452177
POCO,Deep Diner,0.583451837
BUZZ,Center Field,0.583440643
NANI,Bric-a-Brac,0.583436402
PENNY,Gem Fort,0.583391127
LEON,Lit Match,0.583371381
GALE,Sneaky Fields,0.583331718
TARA,Sneaky Fields,0.583327754
FANG,Diagonal Alley,0.583319188
BUZZ,DUELIST'S DESTINY,0.583291994
NITA,Deep Diner,0.583289959
BYRON,Backyard Bowl,0.583287788
ASH,Ring of Fire,0.583263124
RICO,Slalom Slam,0.583257686
SPROUT,Belle's Rock,0.583218964
ASH,DUELIST'S DESTINY,0.583175834
ASH,Cube Force,0.583159159
EMZ,Undermine,0.583145624
ROSA,Sticky Notes,0.583062413
LEON,SUPER CITY,0.582979112
BUZZ,Super Stadium,0.582941146
COLONEL RUFFS,TIGER TRAP,0.582940516
EMZ,Firm Grip,0.582922339
POCO,DANGER CHAMBER,0.582915951
GALE,Power Shot,0.582875156
8-BIT,DANGER CHAMBER,0.582844261
COLT,Bridge Too Far,0.582777874
TARA,Power Shot,0.582674794
AMBER,Backyard Bowl,0.582671655
EMZ,Center Stage,0.582670055
POCO,Night at the Museum,0.582652294
SPIKE,Lit Match,0.582620798
GENE,Diagonal Alley,0.582455704
EL PRIMO,Triple Dribble,0.582432659
TARA,Pit Stop,0.582421995
GENE,Belle's Rock,0.582394694
SURGE,Pinball Dreams,0.582380796
SANDY,Cotton Candy Dreams,0.582359287
MEG,Bridge Too Far,0.582328088
BULL,Triple Dribble,0.582307046
ASH,Flaring Phoenix,0.582259217
ROSA,Shooting Star,0.58225695
NITA,Dry Season,0.582252
ASH,Luis' Revenge,0.582239987
ASH,Belle's Rock,0.58222659
EL PRIMO,Shooting Star,0.582166694
STU,Backyard Bowl,0.582146652
GRIFF,Slalom Slam,0.582084644
LOU,DUELIST'S DESTINY,0.582073638
ROSA,Hideout,0.582055835
JESSIE,TIGER TRAP,0.582048463
EL PRIMO,DANGER CHAMBER,0.582032734
LEON,Hideout,0.582017478
ROSA,Super Stadium,0.582014908
GROM,Bot Drop,0.582010966
ASH,Gem Source,0.581991856
NITA,Acute Angle,0.581981908
DARRYL,Goldarm Gulch,0.581978944
BYRON,DUELIST'S DESTINY,0.581969868
JACKY,Shooting Star,0.581966743
BELLE,Hideout,0.581956848
RICO,DANGER CHAMBER,0.581932028
NITA,Crystal Arcade,0.581883035
JESSIE,Kaboom Canyon,0.581873814
